Stock,Age,Treatment,Number_Oocyte.sum.sum,Ovary.sum.length,Ovariole.mean.mean,Number_Oocyte.sum.mean
42,0D,0.5,148,8,6.875,18.5
42,0D,1,22,3,7.33333333333333,7.33333333333333
42,0D,2,193,4,8.5,48.25
42,2D,0.5,335,11,10.3636363636364,30.4545454545455
42,2D,1,1033,20,10.6,51.65
42,2D,2,722,17,8.41176470588235,42.4705882352941
42,5D,0.5,24,1,5,24
42,5D,1,857,14,12.3571428571429,61.2142857142857
42,5D,2,14,2,7,7
217,0D,0.5,284,6,9,47.3333333333333
217,0D,1,610,12,9,50.8333333333333
217,0D,2,94,4,12.25,23.5
217,2D,0.5,1103,19,11.2631578947368,58.0526315789474
217,2D,1,1899,33,9.57575757575757,57.5454545454545
217,2D,2,1279,22,10.4545454545455,58.1363636363636
217,5D,0.5,854,12,11,71.1666666666667
217,5D,1,1100,21,9.95238095238095,52.3809523809524
217,5D,2,318,7,8,45.4285714285714
