Treatment,Stock,Stage_grouped,mean_tunel,num_oocyte,TUN_Pos,TUN_Neg
0.5,42,Early,18.6717565574738,384,36,348
0.5,42,Late,6.56162464985994,123,11,112
0.5,217,Early,2.0779107635648,1563,38,1525
0.5,217,Late,7.03759653691719,678,55,623
1,42,Early,8.86070457489245,1197,89,1108
1,42,Late,7.3853713179329,715,64,651
1,217,Early,6.90534075551998,2475,169,2306
1,217,Late,7.8613789665619,1134,115,1019
2,42,Early,9.73216972361923,615,44,571
2,42,Late,5.54412443253274,314,24,290
2,217,Early,7.22960950503273,1101,44,1057
2,217,Late,6.06098204782415,590,45,545
