contrast,estimate,SE,df,t.ratio,p.value
Treatment0.5 Age0 Stock217 - Treatment1 Age0 Stock217,0.06691323103026846,0.06294230728741082,77.83502566879294,1.063088309183287,0.9999999734002909
Treatment0.5 Age0 Stock217 - Treatment2 Age0 Stock217,0.024124330849570077,0.06316493447508925,109.82936263365369,0.3819260013494376,1
Treatment0.5 Age0 Stock217 - Treatment0.5 Age2 Stock217,-0.05486111111117987,0.04888496305276836,646.9029846973078,-1.1222492088612324,0.9999999786076301
Treatment0.5 Age0 Stock217 - Treatment1 Age2 Stock217,-0.021242891840558158,0.06780790428041969,110.01112247596704,-0.3132804658393238,1
Treatment0.5 Age0 Stock217 - Treatment2 Age2 Stock217,-0.04995304427784887,0.06342454901153086,111.42362515392726,-0.7875979420644709,1
Treatment0.5 Age0 Stock217 - Treatment0.5 Age4 Stock217,-0.07303571428577971,0.042936155108354745,646.9029846972161,-1.7010306139770774,0.9995150810535555
Treatment0.5 Age0 Stock217 - Treatment1 Age4 Stock217,-0.08848985626219015,0.06865254519752227,113.56330770186274,-1.2889523033354897,0.9999978522759554
Treatment0.5 Age0 Stock217 - Treatment2 Age4 Stock217,0.020262051205990422,0.06514542220787617,122.92916455009902,0.3110280127026441,1
Treatment0.5 Age0 Stock217 - Treatment0.5 Age6 Stock217,-0.08062500000006362,0.04148026664719963,646.9029846972161,-1.9436953162765334,0.9944508782817673
Treatment0.5 Age0 Stock217 - Treatment1 Age6 Stock217,-0.09684319665988836,0.06726066589835228,107.16975447579078,-1.4398191776192448,0.999970783055717
Treatment0.5 Age0 Stock217 - Treatment2 Age6 Stock217,-0.00863524744045436,0.06611698056156808,129.67020635829476,-0.13060559280097833,1
Treatment0.5 Age0 Stock217 - Treatment0.5 Age8 Stock217,-0.04375000000006437,0.05080274384011334,646.9029846971548,-0.8611739581971123,0.9999999999905417
Treatment0.5 Age0 Stock217 - Treatment1 Age8 Stock217,-0.08208956939367329,0.06695808351482302,109.11584807847522,-1.225984453027251,0.9999993446796475
Treatment0.5 Age0 Stock217 - Treatment2 Age8 Stock217,0.04871516202336905,0.06461652652798464,119.48248747201126,0.7539118030782899,1
Treatment0.5 Age0 Stock217 - Treatment0.5 Age10 Stock217,-0.15519339377531907,0.03945432562467432,673.6521478202892,-3.933495030472977,0.03811726321545772
Treatment0.5 Age0 Stock217 - Treatment1 Age10 Stock217,0.05387208845148937,0.06062704205488101,74.62496577253056,0.8885818378327464,0.9999999997993723
Treatment0.5 Age0 Stock217 - Treatment2 Age10 Stock217,-0.07423974229247322,0.059444116439484704,104.29457452105787,-1.2488997522244403,0.9999989094987023
Treatment0.5 Age0 Stock217 - Treatment0.5 Age0 Stock42,0.10598270576425768,0.07138315899432995,118.19430580868456,1.4847018156295941,0.99994742998495445
Treatment0.5 Age0 Stock217 - Treatment1 Age0 Stock42,0.022091950751730094,0.07235742786916433,109.11169293294074,0.3053169716269689,1
Treatment0.5 Age0 Stock217 - Treatment2 Age0 Stock42,0.05298119431255832,0.06642980300997336,111.40917432607914,0.7975515794409935,0.9999999999962277
Treatment0.5 Age0 Stock217 - Treatment0.5 Age2 Stock42,0.03637368247852757,0.07419732377291612,135.30486047411395,0.4902290356165767,1
Treatment0.5 Age0 Stock217 - Treatment1 Age2 Stock42,-0.02007971224986726,0.0816340460526184,166.6153650180792,-0.24597227775436478,1
