vial_num,vial_letter,adj_age,X0000,X0001,X0010,X0011,X0100,X0101,X0110,X0111,X1000,X1001,X1010,X1011,X1100,X1101,X1110,X1111,num_offspring,MaternalVial,Treatment,PaternalStock,min_age,max_age,num_moms,age_diff,avg_age
1,A,2,45,14,0,6,0,0,0,1,0,0,0,0,5,1,11,30,248,16,1x,42,2,2,10,0,2
1,B,4,47,15,1,7,0,0,0,0,3,0,0,0,9,2,13,31,274,16,1x,42,2,2,10,0,2
1,C,6,36,17,0,5,0,0,0,1,3,2,0,0,9,1,10,29,168,16,1x,42,2,2,10,0,2
1,D,8,29,10,0,5,0,0,3,2,2,0,0,0,6,1,14,25,181,16,1x,42,2,2,10,0,2
10,C,6,14,2,0,2,0,0,0,1,1,0,0,0,2,0,4,12,92,53,2x,217,2,2,10,0,2
10,D,8,48,18,2,2,0,0,4,0,2,0,0,0,12,3,11,32,313,53,2x,217,2,2,10,0,2
10,B,4,16,4,0,5,0,0,0,1,1,2,0,0,0,1,3,17,103,53,2x,217,2,2,10,0,2
10,A,2,54,19,1,7,0,0,1,3,1,0,0,0,6,1,8,37,323,53,2x,217,2,2,10,0,2
100,D,12,31,12,1,2,1,0,2,2,0,0,0,0,3,0,9,18,206,47,0.5x,217,6,6,7,0,6
100,C,10,25,12,3,3,0,0,0,3,3,0,0,0,4,0,7,11,138,47,0.5x,217,6,6,7,0,6
100,B,8,16,14,0,6,0,0,0,0,3,0,0,0,10,2,11,16,223,47,0.5x,217,6,6,7,0,6
100,A,6,43,20,4,4,0,0,0,1,0,1,0,0,5,3,12,50,311,47,0.5x,217,6,6,7,0,6
101,B,6.5,6,5,0,1,0,0,0,0,1,0,0,0,2,0,1,4,48,75,1x,42,4,5,7,1,4.5
101,C,8.5,6,7,0,1,0,0,0,4,1,0,0,0,3,1,3,9,114,75,1x,42,4,5,7,1,4.5
101,A,4.5,12,6,0,7,0,0,0,3,2,1,0,0,7,0,8,19,155,75,1x,42,4,5,7,1,4.5
101,D,10.5,13,6,0,4,0,0,0,4,0,1,0,0,6,2,4,18,143,75,1x,42,4,5,7,1,4.5
102,D,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,74,2x,42,4,4,10,0,4
102,C,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,74,2x,42,4,4,10,0,4
102,A,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,74,2x,42,4,4,10,0,4
102,B,6,18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,42,74,2x,42,4,4,10,0,4
103,D,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0.5x,42,6,6,7,0,6
103,A,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0.5x,42,6,6,7,0,6
103,B,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0.5x,42,6,6,7,0,6
103,C,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0.5x,42,6,6,7,0,6
104,D,10,26,12,1,5,0,0,0,2,0,0,0,0,4,1,4,24,178,66,2x,217,4,4,10,0,4
104,A,4,44,12,1,3,0,0,0,1,3,1,0,0,9,1,15,42,281,66,2x,217,4,4,10,0,4
104,C,8,20,5,0,2,0,0,1,0,2,0,0,0,1,1,2,12,129,66,2x,217,4,4,10,0,4
104,B,6,10,2,0,2,0,0,0,0,2,1,0,0,4,0,2,14,83,66,2x,217,4,4,10,0,4
105,D,13,30,23,1,7,0,0,0,5,2,0,0,0,6,1,12,27,230,53,2x,217,7,7,6,0,7
105,C,11,5,6,0,0,0,0,0,0,0,0,0,0,2,0,0,6,65,53,2x,217,7,7,6,0,7
105,B,9,15,4,1,2,0,0,1,5,3,3,0,0,7,0,12,21,197,53,2x,217,7,7,6,0,7
105,A,7,11,3,0,1,0,0,0,0,0,1,0,0,3,1,5,8,80,53,2x,217,7,7,6,0,7
106,B,8,36,9,0,3,0,0,2,4,1,2,0,0,12,0,18,20,254,57,1x,217,6,6,7,0,6
106,D,12,20,13,2,3,0,0,0,5,0,0,0,0,5,1,0,13,153,57,1x,217,6,6,7,0,6
106,A,6,7,4,0,0,0,0,0,1,0,0,0,0,2,0,4,7,49,57,1x,217,6,6,7,0,6
106,C,10,3,1,0,3,0,0,0,1,1,1,0,0,2,2,1,7,113,57,1x,217,6,6,7,0,6
107,C,9,33,16,0,8,0,0,0,1,1,1,0,0,10,0,5,33,265,69,1x,217,5,5,9,0,5
107,A,5,21,9,0,2,0,0,2,2,2,1,0,0,2,1,5,15,167,69,1x,217,5,5,9,0,5
107,B,7,30,11,3,11,0,0,1,1,4,0,0,0,9,0,9,24,214,69,1x,217,5,5,9,0,5
107,D,11,23,8,0,6,0,0,0,2,2,1,0,0,6,0,10,18,173,69,1x,217,5,5,9,0,5
108,B,7.5,19,6,0,2,0,0,0,0,1,0,0,0,6,0,4,15,117,72,1x,42,5,6,11,1,5.5
108,C,9.5,7,3,0,1,0,0,0,2,0,0,0,0,1,0,0,3,27,72,1x,42,5,6,11,1,5.5
108,D,11.5,8,3,0,4,0,0,0,0,0,0,0,0,0,0,2,10,73,72,1x,42,5,6,11,1,5.5
108,A,5.5,18,9,0,6,0,0,0,1,1,0,0,0,3,1,2,13,107,72,1x,42,5,6,11,1,5.5
109,C,8.5,5,3,1,5,0,0,0,1,3,0,0,0,2,4,5,9,99,73,2x,42,4,5,6,1,4.5
109,D,10.5,8,8,0,7,0,0,0,0,2,1,0,0,6,1,0,5,88,73,2x,42,4,5,6,1,4.5
109,A,4.5,23,15,0,11,0,0,0,3,4,0,0,0,11,0,8,29,205,73,2x,42,4,5,6,1,4.5
109,B,6.5,7,3,0,1,0,0,0,3,1,0,0,0,5,0,1,4,57,73,2x,42,4,5,6,1,4.5
11,B,4,26,12,0,5,0,0,1,0,2,0,0,0,5,1,7,35,198,53,2x,217,2,2,10,0,2
11,C,6,34,21,1,6,0,0,0,2,5,0,0,0,8,5,9,34,288,53,2x,217,2,2,10,0,2
11,A,2,25,7,1,1,0,0,0,0,2,0,0,0,1,1,6,27,184,53,2x,217,2,2,10,0,2
11,D,8,8,7,1,0,0,0,0,1,0,0,0,0,0,0,2,7,54,53,2x,217,2,2,10,0,2
110,A,5,19,4,0,8,0,0,1,3,3,0,0,0,7,1,11,16,166,51,0.5x,42,5,5,7,0,5
110,B,7,16,12,0,2,0,0,0,3,9,0,0,0,10,1,7,17,158,51,0.5x,42,5,5,7,0,5
110,D,11,23,7,1,2,0,0,1,5,2,1,0,0,10,2,7,14,172,51,0.5x,42,5,5,7,0,5
110,C,9,4,3,1,5,0,0,0,0,0,0,0,0,0,0,0,9,48,51,0.5x,42,5,5,7,0,5
111,B,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0.5x,42,5,5,6,0,5
111,D,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0.5x,42,5,5,6,0,5
