"","contrast","PaternalStock","Interval","estimate","SE","df","z.ratio","p.value"
"1","1x - 0.5x","42","cvv_vf",-0.00368754356290991,0.198376912952891,Inf,-0.0185885721681011,0.999240852723663
"2","2x - 0.5x","42","cvv_vf",0.588661173047052,0.200692710672755,Inf,2.93314675492579,0.00657718055174794
"3","1x - 0.5x","217","cvv_vf",0.0402368339588184,0.135238828337615,Inf,0.297524272085304,0.924323857545464
"4","2x - 0.5x","217","cvv_vf",0.0258171599177681,0.141906325504017,Inf,0.181931001497445,0.966878963587496
"5","1x - 0.5x","42","ycv_cvv",-1.44036158239017,0.869994676101683,Inf,-1.65559815704185,0.176396425961324
"6","2x - 0.5x","42","ycv_cvv",-1.82812711339893,1.43332401705394,Inf,-1.27544581102915,0.342651860137178
"7","1x - 0.5x","217","ycv_cvv",0.356674943938738,0.753437476643004,Inf,0.473396871002395,0.836982734634725
"8","2x - 0.5x","217","ycv_cvv",0.434452644981416,0.776159290100576,Inf,0.559746756268444,0.786787023124072
"9","1x - 0.5x","42","ycv_vf",0.257521936822339,0.244976939774851,Inf,1.05120888953473,0.472081486879839
"10","2x - 0.5x","42","ycv_vf",0.0915078938545862,0.342183676446536,Inf,0.2674233172221,0.936708617310453
"11","1x - 0.5x","217","ycv_vf",0.049584918830776,0.192550156177521,Inf,0.25751689749377,0.9405937243877
"12","2x - 0.5x","217","ycv_vf",-0.0943675768568217,0.212168693350399,Inf,-0.444776160736271,0.852706779157603
