"","contrast","PaternalStock","vial_letter","estimate","SE","df","z.ratio","p.value"
"1","0.5x - 1x","42","A",0.294772993455374,0.164718853730989,Inf,1.78955223873026,0.173051734908873
"2","0.5x - 2x","42","A",0.502162219029194,0.184553478308476,Inf,2.72095776049175,0.0178803800693377
"3","1x - 2x","42","A",0.207389225573821,0.200691702076325,Inf,1.03337219938943,0.555753680667898
"4","0.5x - 1x","217","A",-0.0469028089495874,0.14037291775539,Inf,-0.334130042315703,0.940317733784472
"5","0.5x - 2x","217","A",0.247698934267788,0.158294121486987,Inf,1.5648018507633,0.261004772738393
"6","1x - 2x","217","A",0.294601743217376,0.165148933912954,Inf,1.7838549498155,0.174980187988911
"7","0.5x - 1x","42","B",0.346276318648103,0.170073973761775,Inf,2.03603356227295,0.103671094998563
"8","0.5x - 2x","42","B",0.269632328129899,0.189728870010361,Inf,1.42114549101133,0.329934215669264
"9","1x - 2x","42","B",-0.0766439905182035,0.207271898240528,Inf,-0.369775117460749,0.927406351222199
"10","0.5x - 1x","217","B",0.153844193878889,0.139056932410889,Inf,1.10633962084182,0.510124354394726
"11","0.5x - 2x","217","B",0.14537051913435,0.154728365633247,Inf,0.939520808220272,0.615229558610172
"12","1x - 2x","217","B",-0.00847367474453925,0.163545099206086,Inf,-0.0518124650978468,0.998521043324074
"13","0.5x - 1x","42","C",0.0583475747253717,0.171259749539155,Inf,0.340696368425039,0.938024432250488
"14","0.5x - 2x","42","C",0.315079802680352,0.188173167095325,Inf,1.67441409178567,0.215045370658001
"15","1x - 2x","42","C",0.256732227954981,0.20382148904362,Inf,1.25959352548954,0.418176987467348
"16","0.5x - 1x","217","C",0.194491314159167,0.141074702158839,Inf,1.37864061509898,0.352123004311428
"17","0.5x - 2x","217","C",0.108315705629463,0.158172093930441,Inf,0.684796558848725,0.772372041836461
"18","1x - 2x","217","C",-0.0861756085297037,0.16507395614634,Inf,-0.522042425961538,0.86056469859308
"19","0.5x - 1x","42","D",0.0307791173889431,0.17730853921967,Inf,0.173590722276554,0.98352468399037
"20","0.5x - 2x","42","D",0.31114250496085,0.2034045651432,Inf,1.5296731651121,0.27696522071535
"21","1x - 2x","42","D",0.280363387571907,0.211649223461296,Inf,1.32466060109678,0.381393946113173
"22","0.5x - 1x","217","D",0.102222689799536,0.136006647928467,Inf,0.751600685381937,0.732656383852957
"23","0.5x - 2x","217","D",0.0346312738322368,0.152308746963732,Inf,0.227375475950066,0.971901929679419
"24","1x - 2x","217","D",-0.0675914159672989,0.16302394250055,Inf,-0.414610362935315,0.909609359624661
