"","contrast","PaternalStock","vial_letter","estimate","SE","df","z.ratio","p.value"
"1","0.5x - 1x","42","A",0.0124529549470518,0.151570151467125,Inf,0.0821596787132113,0.99628538204154
"2","0.5x - 2x","42","A",0.311051568233536,0.171164952310003,Inf,1.81726202727635,0.163890557629601
"3","1x - 2x","42","A",0.298598613286484,0.183474332747911,Inf,1.62746804315539,0.234013117892026
"4","0.5x - 1x","217","A",-0.0252492516743203,0.12349283255467,Inf,-0.204459247974109,0.977218030324871
"5","0.5x - 2x","217","A",0.101965573111966,0.138548817138525,Inf,0.735954122293355,0.742096552897464
"6","1x - 2x","217","A",0.127214824786286,0.145806021927337,Inf,0.87249362615273,0.657686015368948
"7","0.5x - 1x","42","B",0.309609490342301,0.152322179013348,Inf,2.03259625320336,0.104460564059162
"8","0.5x - 2x","42","B",0.545104898969756,0.177560880437397,Inf,3.06996055452622,0.0060652052947956
"9","1x - 2x","42","B",0.235495408627454,0.191607019631718,Inf,1.2290541812095,0.4359556120448
"10","0.5x - 1x","217","B",0.0983664469630118,0.125044222057794,Inf,0.786653276290912,0.711249170243442
"11","0.5x - 2x","217","B",0.146124102844872,0.140153473467319,Inf,1.04260065219821,0.54994041408981
"12","1x - 2x","217","B",0.04775765588186,0.147967115910413,Inf,0.322758577728682,0.944196467597433
"13","0.5x - 1x","42","C",-0.145186495365688,0.159189971226645,Inf,-0.91203292674122,0.632674119899503
"14","0.5x - 2x","42","C",0.217807930021533,0.177038511612335,Inf,1.23028559175007,0.435232826719436
"15","1x - 2x","42","C",0.362994425387221,0.190066971865698,Inf,1.90982379433978,0.13585737305033
"16","0.5x - 1x","217","C",0.208426693214681,0.128063809038917,Inf,1.62752220770931,0.233990614209162
"17","0.5x - 2x","217","C",0.146555168223911,0.143950205807908,Inf,1.01809627434281,0.565396607124747
"18","1x - 2x","217","C",-0.0618715249907692,0.150590861005376,Inf,-0.410858431764729,0.911162747614944
"19","0.5x - 1x","42","D",-0.0700966677001465,0.162034228976442,Inf,-0.432604074725087,0.902002089986672
"20","0.5x - 2x","42","D",0.486956000931503,0.192002328340515,Inf,2.53619841561446,0.030134243180293
"21","1x - 2x","42","D",0.557052668631649,0.198901843849974,Inf,2.80064104911877,0.014122789529858
"22","0.5x - 1x","217","D",0.0406482586303087,0.123429674654664,Inf,0.329323225910105,0.941971725346055
"23","0.5x - 2x","217","D",-0.0522515018325924,0.138446102597627,Inf,-0.377414032263904,0.924494262115001
"24","1x - 2x","217","D",-0.0928997604629011,0.148024483214845,Inf,-0.627597262596518,0.804948785035414
