"","contrast","PaternalStock","vial_letter","estimate","SE","df","z.ratio","p.value"
"1","0.5x - 1x","42","A",0.319224148510012,0.213081495550987,Inf,1.49813172506867,0.291796516656287
"2","0.5x - 2x","42","A",0.793670624728931,0.255484268961731,Inf,3.10653422206522,0.00537692964946923
"3","1x - 2x","42","A",0.474446476218919,0.278068231656364,Inf,1.70622322943111,0.202803750702584
"4","0.5x - 1x","217","A",-0.152685296643215,0.184071580709587,Inf,-0.829488702463576,0.684685408155184
"5","0.5x - 2x","217","A",0.197139927634922,0.20632121369648,Inf,0.955500038522141,0.605081388889385
"6","1x - 2x","217","A",0.349825224278136,0.208629740036462,Inf,1.67677544062988,0.214119695961711
"7","0.5x - 1x","42","B",0.190741759395515,0.21426477738272,Inf,0.890215189474711,0.64649209930243
"8","0.5x - 2x","42","B",0.57563750627327,0.260280156219067,Inf,2.21160734892436,0.0692153701635937
"9","1x - 2x","42","B",0.384895746877755,0.2801374343472,Inf,1.37395328037708,0.354617263572735
"10","0.5x - 1x","217","B",0.0493562244997602,0.177946220411368,Inf,0.277365961388,0.958478759221049
"11","0.5x - 2x","217","B",0.127339291050395,0.195812285490062,Inf,0.650313082918683,0.792190318096728
"12","1x - 2x","217","B",0.077983066550635,0.202757676058699,Inf,0.384612154106849,0.921704404195152
"13","0.5x - 1x","42","C",-0.391910572808338,0.208916147557489,Inf,-1.87592283981061,0.145673151422352
"14","0.5x - 2x","42","C",-0.00264487244470712,0.233915543984199,Inf,-0.0113069546369513,0.999929516634784
"15","1x - 2x","42","C",0.38926570036363,0.245703670182926,Inf,1.58428931921865,0.252406948864862
"16","0.5x - 1x","217","C",0.0166136917828272,0.180783683223923,Inf,0.0918981817747849,0.995354781064352
"17","0.5x - 2x","217","C",-0.0508100594374538,0.199608104516053,Inf,-0.254549080362454,0.964911784224624
"18","1x - 2x","217","C",-0.0674237512202808,0.201805636979331,Inf,-0.334102417699989,0.940327299266582
"19","0.5x - 1x","42","D",0.0556641286494694,0.220037436458187,Inf,0.252975718793412,0.965336561882366
"20","0.5x - 2x","42","D",0.622470095160213,0.269717182245579,Inf,2.3078622206332,0.0547102169282715
"21","1x - 2x","42","D",0.566805966510743,0.279354445454533,Inf,2.02898495346478,0.105295060951747
"22","0.5x - 1x","217","D",0.196133501913102,0.173907783071367,Inf,1.12780174900288,0.496883101365919
"23","0.5x - 2x","217","D",0.120940015110102,0.190370606544802,Inf,0.635287228974814,0.800657574884294
"24","1x - 2x","217","D",-0.0751934868030001,0.204107374755668,Inf,-0.368401616516857,0.927924604377288
