Treatment,Sex,Stock,Weights.m,Weights.v,Weights.n,Weights.min,Weights.max
0.5,F,217,1.1570212765957446,0.027960924273621592,94,0.79,1.5999999999999999
0.5,F,42,1.1371428571428572,0.008583292978208232,119,0.8,1.4
0.5,M,217,0.615,0.006379411764705882,18,0.5,0.8
0.5,M,42,0.7018518518518518,0.003061823361823362,27,0.6,0.83
1,F,217,1.1614388489208634,0.028870378479824835,139,0.1,1.41
1,F,42,1.1823880597014926,0.007418453188602445,67,1,1.3599999999999999
1,M,217,0.6891666666666667,0.005459285714285713,36,0.5,0.8200000000000001
1,M,42,0.716551724137931,0.002709113300492612,29,0.5900000000000001,0.8500000000000001
2,F,217,1.1418471337579619,0.017615155969296095,157,0.74,1.8
2,F,42,1.103037037037037,0.017243692647871758,135,0.78,1.41
2,M,217,0.7605714285714286,0.0056526050420168126,35,0.6,0.95
2,M,42,0.7175757575757575,0.0044501893939393996,33,0.6,0.88
