Maternal Vial,Treatment,Paternal Stock,Vial ID,Date,CrossID,Maternal Age (d),# mothers,#males
16,1x,42,38,25-Jan,1,2,10,5
24,2x,217,25,25-Jan,2,2,10,5
1,2x,217,3,25-Jan,3,2,10,5
13,2x,217,9,25-Jan,4,2,10,5
24,2x,217,23,30-Jan,4,7,5,3
4,1x,217,30,25-Jan,5,2,10,5
13,2x,217,29,25-Jan,6,2,10,5
36,2x,217,165,26-Jan,7,2,10,5
26,0.5x,217,97+126+156,27-Jan,8,2,10,5
62,1x,217,110+178,27-Jan,9,2,10,5
53,2x,217,177,27-Jan,10,2,10,5
53,2x,217,210,28-Jan,11,2,10,5
55,1x,42,211+244,28-Jan,12,2,10,5
25,0.5x,217,106,30-Jan,13,5,2,4
25,0.5x,217,155,30-Jan,13,5,6,4
24,2x,217,19,30-Jan,14,7,6,3
29,0.5x,217,128,30-Jan,15,5,1,4
29,0.5x,217,159,30-Jan,15,5,7,4
29,0.5x,217,197,30-Jan,16,5,4,4
29,0.5x,217,235,30-Jan,16,2,4,4
18,1x,217,11,30-Jan,17,7,3,4
18,1x,217,27,30-Jan,17,7,1,4
18,1x,217,72,30-Jan,17,6,2,4
18,1x,217,116,30-Jan,17,5,2,4
30,1x,217,124,30-Jan,18,5,3,3
30,1x,217,160,30-Jan,18,5,3,3
24,2x,217,55,30-Jan,19,6,1,3
24,2x,217,102,30-Jan,19,5,4,3
24,2x,217,154,30-Jan,19,5,1,3
30,1x,217,53,30-Jan,20,6,2,3
30,1x,217,81,30-Jan,20,6,4,3
36,2x,217,91,30-Jan,21,6,2,3
36,2x,217,92,30-Jan,21,5,5,3
36,2x,217,226,30-Jan,22,4,10,5
36,2x,217,226,30-Jan,23,4,9,4
37,0.5x,217,217,30-Jan,24,4,8,4
41,1x,217,99,30-Jan,25,5,3,4
41,1x,217,168,30-Jan,25,5,5,4
40,2x,217,202,30-Jan,26,4,6,3
40,2x,217,167,30-Jan,27,5,7,4
40,2x,217,167,30-Jan,28,5,8,4
42,0.5x,217,112,30-Jan,29,5,1,3
42,0.5x,217,119,30-Jan,29,5,5,3
1,2x,217,2,30-Jan,30,7,4,5
1,2x,217,24,30-Jan,30,7,5,5
20,1x,42,119,30-Jan,31,5,3,4
20,1x,42,152,30-Jan,31,5,4,4
20,1x,42,56,30-Jan,32,6,4,4
20,1x,42,90,30-Jan,32,6,4,4
2,2x,42,4,30-Jan,33,7,7,3
16,1x,42,63,30-Jan,34,6,8,4
3,1x,42,18,30-Jan,35,7,8,4
7,0.5x,42,59,30-Jan,36,6,2,3
7,0.5x,42,85,30-Jan,36,6,3,3
7,0.5x,42,118,30-Jan,36,5,1,3
7,0.5x,42,143,30-Jan,36,5,1,3
33,0.5x,42,68,30-Jan,37,6,7,3
8,0.5x,217,52,30-Jan,38,6,5,3
8,0.5x,217,86,30-Jan,38,6,2,3
4,1x,217,1,30-Jan,39,7,4,3
4,1x,217,6,30-Jan,39,7,2,3
23,0.5x,42,69,30-Jan,40,6,5,6
23,0.5x,42,108,30-Jan,40,4,8,6
1,2x,217,13,30-Jan,41,7,4,5
1,2x,217,51,30-Jan,41,6,3,5
1,2x,217,138,30-Jan,41,5,3,5
14,1x,217,31,30-Jan,42,7,6,3
4,1x,217,140,30-Jan,43,5,1,4
4,1x,217,16,30-Jan,43,7,3,4
4,1x,217,122,30-Jan,43,5,1,4
4,1x,217,236,30-Jan,43,4,2,4
5,0.5x,217,141,30-Jan,44,5,6,3
32,0.5x,42,71,30-Jan,45,6,6,3
19,0.5x,42,133,30-Jan,46,5,2,3
19,0.5x,42,151,30-Jan,46,5,4,3
15,2x,42,20,30-Jan,47,7,4,3
15,2x,42,28,30-Jan,47,7,3,3
5,0.5x,217,37,30-Jan,48,7,1,3
5,0.5x,217,62,30-Jan,48,6,1,3
5,0.5x,217,83,30-Jan,48,6,3,3
10,1x,42,14,30-Jan,49,7,1,3
10,1x,42,32,30-Jan,49,7,2,3
10,1x,42,60,30-Jan,49,6,1,3
10,1x,42,88,30-Jan,49,6,2,3
33,0.5x,42,415,31-Jan,50,3,3,3
33,0.5x,42,459,31-Jan,50,3,1,3
33,0.5x,42,515,31-Jan,50,2,1,3
33,0.5x,42,525,31-Jan,50,2,1,3
46,0.5x,42,522,31-Jan,51,2,5,5
46,0.5x,42,596,31-Jan,51,2,4,5
46,0.5x,42,650,31-Jan,51,2,1,5
16,1x,42,350,31-Jan,52,4,1,3
16,1x,42,408,31-Jan,52,3,2,3
16,1x,42,447,31-Jan,52,3,1,3
16,1x,42,593,31-Jan,52,2,2,3
74,2x,42,587,31-Jan,53,2,5,5
74,2x,42,623,31-Jan,53,2,6,5
21,0.5x,42,407,31-Jan,54,3,1,3
21,0.5x,42,478,31-Jan,54,3,2,3
21,0.5x,42,531,31-Jan,54,2,1,3
21,0.5x,42,560,31-Jan,54,2,3,3
71,1x,217,303,31-Jan,55,4,3,3
71,1x,217,463,31-Jan,55,3,1,3
71,1x,217,577,31-Jan,55,2,2,3
8,0.5x,217,302,31-Jan,56,4,2,3
8,0.5x,217,438,31-Jan,56,3,2,3
8,0.5x,217,510,31-Jan,56,3,1,3
8,0.5x,217,591,31-Jan,56,2,1,3
67,0.5X,217,404,31-Jan,57,3,4,4
67,0.5X,217,588,31-Jan,57,2,1,4
67,0.5X,217,616,31-Jan,57,2,3,4
69,1x,217,465,31-Jan,58,3,4,3
69,1x,217,576,31-Jan,58,2,3,3
70,0.5x,217,432,31-Jan,59,3,4,3
70,0.5x,217,508,31-Jan,59,3,3,3
59,0.5x,217,453,31-Jan,60,3,2,4
59,0.5x,217,601,31-Jan,60,2,2,4
59,0.5x,217,652,31-Jan,60,2,3,4
62,1x,217,305,31-Jan,61,4,1,3
62,1x,217,364,31-Jan,61,4,2,3
62,1x,217,584,31-Jan,61,2,3,3
62,1x,217,621,31-Jan,61,2,1,3
47,0.5x,217,489,31-Jan,62,3,3,4
47,0.5x,217,520,31-Jan,62,2,2,4
47,0.5x,217,597,31-Jan,62,2,1,4
47,0.5x,217,649,31-Jan,62,2,1,4
32,0.5x,42,475,31-Jan,63,5,1,3
32,0.5x,42,412,31-Jan,63,3,1,3
32,0.5x,42,524,31-Jan,63,2,2,3
32,0.5x,42,546,31-Jan,63,2,3,3
27,0.5x,42,378,31-Jan,64,4,3,3
27,0.5x,42,419,31-Jan,64,3,1,3
27,0.5x,42,614,31-Jan,64,2,2,3
27,0.5x,42,642,31-Jan,64,2,1,3
38,0.5x,42,284,31-Jan,65,4,1,3
38,0.5x,42,379,31-Jan,65,4,1,3
38,0.5x,42,451,31-Jan,65,3,2,3
38,0.5x,42,530,31-Jan,65,2,1,3
38,0.5x,42,538,31-Jan,65,2,1,3
43,1x,42,409,31-Jan,66,3,1,5
43,1x,42,469,31-Jan,66,3,4,5
43,1x,42,532,31-Jan,66,2,3,5
43,1x,42,544,31-Jan,66,2,2,5
48,0.5x,42,443,31-Jan,67,3,4,3
48,0.5x,42,485,31-Jan,67,3,1,3
48,0.5x,42,635,31-Jan,67,2,1,3
73,2x,42,304,31-Jan,68,4,7,4
75,1x,42,499,31-Jan,69,3,2,3
75,1x,42,572,31-Jan,69,2,2,3
75,1x,42,624,31-Jan,69,2,2,3
50,2x,42,444,31-Jan,70,3,3,3
50,2x,42,507,31-Jan,70,3,3,3
39,1x,42,285,31-Jan,71,4,1,3
39,1x,42,384,31-Jan,71,4,1,3
39,1x,42,446,31-Jan,71,3,1,3
39,1x,42,456,31-Jan,71,3,1,3
