Date,Vial,Syringe No,Species,Round,Sex,Pre-Weight,Time,Chm Vol,Inj Vol,TVCO2,TVO2,Stock,Treatment
4/19/23,3,1,DMEL,1,F,0.0011,4.2,0.50,0.25,2.65E+01,31.59617,42,1.0
4/19/23,3,2,DMEL,1,F,0.0011,4.233333333,0.50,0.25,2.58E+01,33.48256,42,1.0
4/19/23,3,3,DMEL,1,F,0.0011,4.283333333,0.50,0.25,2.45E+01,29.4232,42,1.0
4/19/23,3,4,DMEL,1,F,0.0012,4.333333333,0.50,0.25,2.79E+01,33.52721,42,1.0
4/19/23,5,5,DMEL,1,F,0.0014,7.666666667,0.50,0.25,2.77E+01,4.15E+01,217,0.5
4/19/23,12,6,DMEL,1,F,0.0012,4.416666667,0.50,0.25,3.13E+01,3.89E+01,217,0.5
4/19/23,12,7,DMEL,1,F,0.0015,4.466666667,0.50,0.25,2.77E+01,39.2749,217,0.5
4/19/23,12,8,DMEL,1,F,0.0010,4.516666667,0.50,0.25,3.4997E+01,42.71742,217,0.5
4/19/23,12,9,DMEL,1,F,0.0013,4.566666667,0.50,0.25,3.1543E+01,41.06804,217,0.5
4/19/23,12,10,DMEL,1,F,0.0012,4.65,0.50,0.25,3.0772E+01,27.42906,217,0.5
4/19/23,12,11,DMEL,1,F,0.0014,4.683333333,0.50,0.25,2.6516E+01,33.58677,217,0.5
4/19/23,6,12,DMEL,1,F,0.0010,4.733333333,0.50,0.25,3.14E+01,44.84882,217,1.0
4/19/23,6,13,DMEL,1,F,0.0011,4.466666667,0.50,0.25,2.76E+01,41.78621,217,1.0
4/19/23,6,14,DMEL,1,F,0.0010,4.516666667,0.50,0.25,2.68E+01,27.85063,217,1.0
4/19/23,7,15,DMEL,1,F,0.0012,4.566666667,0.50,0.25,3.12E+01,4.16E+01,217,2.0
4/19/23,2,16,DMEL,1,F,0.0011,4.6,0.50,0.25,3.20E+01,4.92E+01,42,0.5
