Vial_Code,Age,Picture_Number,Strain,Treatment
89,5D,0019.tif,42,2x
89,5D,0020.tif,42,2x
89,5D,0021.tif,42,2x
95,5D,0027.tif,42,0.5x
100,5D,0015.tif,42,0.5x
100,5D,0016.tif,42,0.5x
100,5D,0017.tif,42,0.5x
100,5D,0018.tif,42,0.5x
113,5D,0026.tif,42,0.5x
174,5D,0018.tif,42,1x
174,5D,0019.tif,42,1x
174,5D,0020.tif,42,1x
174,5D,0021.tif,42,1x
186,5D,0001.tif,217,2x
186,5D,0002.tif,217,2x
186,5D,0003.tif,217,2x
186,5D,0004.tif,217,2x
186,5D,0005.tif,217,2x
186,5D,0006.tif,217,2x
186,5D,0007.tif,217,2x
186,5D,0008.tif,217,2x
186,5D,0009.tif,217,2x
186,5D,0010.tif,217,2x
186,5D,0011.tif,217,2x
186,5D,0012.tif,217,2x
221,2D,0025.tif,42,0.5x
221,2D,0026.tif,42,0.5x
221,2D,0027.tif,42,0.5x
221,2D,0028.tif,42,0.5x
221,2D,0029.tif,42,0.5x
221,2D,0030.tif,42,0.5x
221,2D,0031.tif,42,0.5x
221,2D,0032.tif,42,0.5x
221,2D,0033.tif,42,0.5x
225,2D,3164.tif,217,2x
225,2D,8085.tif,217,2x
225,2D,3348.tif,217,2x
225,2D,8734.tif,217,2x
226,2D,0009.tif,217,0.5x
226,2D,0010.tif,217,0.5x
226,2D,0011.tif,217,0.5x
226,2D,0012.tif,217,0.5x
226,2D,0013.tif,217,0.5x
245,2D,0021.tif,42,1x
245,2D,0022.tif,42,1x
245,2D,0023.tif,42,1x
245,2D,0024.tif,42,1x
287,2D,0006.tif,217,2x
287,2D,0007.tif,217,2x
287,2D,0008.tif,217,2x
291,2D,0014.tif,42,2x
291,2D,0015.tif,42,2x
291,2D,0016.tif,42,2x
291,2D,0017.tif,42,2x
291,2D,0018.tif,42,2x
291,2D,0019.tif,42,2x
291,2D,0020.tif,42,2x
291,2D,0024.tif,42,2x
313,5D,0025.tif,42,1x
313,5D,0026.tif,42,1x
313,5D,0027.tif,42,1x
313,5D,0028.tif,42,1x
313,5D,0029.tif,42,1x
313,5D,0030.tif,42,1x
313,5D,0031.tif,42,1x
313,5D,0032.tif,42,1x
313,5D,0033.tif,42,1x
313,5D,0034.tif,42,1x
313,5D,0035.tif,42,1x
313,5D,0036.tif,42,1x
313,5D,0037.tif,42,1x
313,5D,0038.tif,42,1x
313,5D,0039.tif,42,1x
313,5D,0040.tif,42,1x
317,5D,0011.tif,217,1x
317,5D,0012.tif,217,1x
317,5D,0013.tif,217,1x
317,5D,0014.tif,217,1x
317,5D,0015.tif,217,1x
317,5D,0016.tif,217,1x
317,5D,0017.tif,217,1x
317,5D,0018.tif,217,1x
317,5D,0019.tif,217,1x
321,5D,0006.tif,217,1x
321,5D,0007.tif,217,1x
321,5D,0008.tif,217,1x
321,5D,0009.tif,217,1x
321,5D,0010.tif,217,1x
334,5D,0002.tif,217,2x
334,5D,0003.tif,217,2x
334,5D,0004.tif,217,2x
334,5D,0005.tif,217,2x
341,2D,0007.tif,217,1x
341,2D,0008.tif,217,1x
341,2D,0009.tif,217,1x
341,2D,0010.tif,217,1x
341,2D,0011.tif,217,1x
345,2D,0012.tif,42,0.5x
345,2D,0013.tif,42,0.5x
345,2D,0014.tif,42,0.5x
347,2D,0001.tif,42,1x
347,2D,0002.tif,42,1x
347,2D,0003.tif,42,1x
349,5D,0023.tif,42,0.5x
349,5D,0024.tif,42,0.5x
354,5D,0020.tif,42,0.5x
354,5D,0021.tif,42,0.5x
354,5D,0022.tif,42,0.5x
368,5D,0001.tif,217,2x
370,5D,0022.tif,42,2x
370,5D,0023.tif,42,2x
370,5D,0024.tif,42,2x
370,5D,0025.tif,42,2x
426,2D,0004.tif,42,0.5x
426,2D,0005.tif,42,0.5x
426,2D,0006.tif,42,0.5x
473,2D,0013.tif,217,1x
473,2D,0014.tif,217,1x
473,2D,0015.tif,217,1x
473,2D,0016.tif,217,1x
473,2D,0017.tif,217,1x
507,5D,0020.tif,42,2x
507,5D,0021.tif,42,2x
507,5D,0022.tif,42,2x
507,5D,0023.tif,42,2x
507,5D,0024.tif,42,2x
507,5D,0025.tif,42,2x
