Date,Vial,Species,Sex,Weight,Stock,Treatment,Age,Comments,Round
16-May,1,DMEL,M,0.00073,42,0.5,0,,3
16-May,1,DMEL,M,0.00072,42,0.5,0,,3
16-May,1,DMEL,M,0.00067,42,0.5,0,,3
16-May,1,DMEL,M,0.00066,42,0.5,0,,3
16-May,1,DMEL,F,0.00123,42,0.5,0,,3
16-May,1,DMEL,F,0.00114,42,0.5,0,,3
16-May,1,DMEL,F,0.00113,42,0.5,0,,3
16-May,1,DMEL,F,0.00112,42,0.5,0,,3
16-May,1,DMEL,F,0.00105,42,0.5,0,,3
16-May,1,DMEL,F,0.00102,42,0.5,0,,3
16-May,1,DMEL,F,0.001,42,0.5,0,,3
17-May,1,DMEL,M,0.00083,42,0.5,0,,3
17-May,1,DMEL,M,0.00083,42,0.5,0,,3
17-May,1,DMEL,M,0.00075,42,0.5,0,,3
17-May,1,DMEL,M,0.00074,42,0.5,0,,3
17-May,1,DMEL,M,0.00072,42,0.5,0,,3
17-May,1,DMEL,M,0.00068,42,0.5,0,,3
17-May,1,DMEL,F,0.00104,42,0.5,0,,3
17-May,1,DMEL,F,0.00103,42,0.5,0,,3
17-May,1,DMEL,F,0.00103,42,0.5,0,,3
17-May,1,DMEL,F,0.00099,42,0.5,0,,3
18-May,1,DMEL,M,0.00075,42,0.5,0,,3
18-May,1,DMEL,M,0.00071,42,0.5,0,,3
18-May,1,DMEL,F,0.00101,42,0.5,0,,3
19-May,1,DMEL,M,0.00074,42,0.5,0,,3
19-May,1,DMEL,M,0.00069,42,0.5,0,,3
19-May,1,DMEL,F,0.00105,42,0.5,0,,3
26-Apr,36,DMEL,M,0.00065,42,0.5,0,,2
27-Apr,36,DMEL,M,0.00068,42,0.5,0,,2
27-Apr,42,DMEL,F,0.0012,42,0.5,0,,2
18-May,1,DMEL,F,0.00124,42,0.5,2,,3
18-May,1,DMEL,F,0.00124,42,0.5,2,,3
18-May,1,DMEL,F,0.00121,42,0.5,2,,3
18-May,1,DMEL,F,0.00119,42,0.5,2,,3
18-May,1,DMEL,F,0.00118,42,0.5,2,,3
18-May,1,DMEL,F,0.00113,42,0.5,2,,3
18-May,1,DMEL,F,0.00111,42,0.5,2,,3
19-May,1,DMEL,F,0.00111,42,0.5,2,,3
19-May,1,DMEL,F,0.00107,42,0.5,2,,3
19-May,1,DMEL,F,0.00105,42,0.5,2,,3
19-May,1,DMEL,F,0.00103,42,0.5,2,,3
20-May,1,DMEL,F,0.0011,42,0.5,4,,3
20-May,1,DMEL,F,0.00106,42,0.5,4,,3
20-May,1,DMEL,F,0.00106,42,0.5,4,,3
